ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual
887C13D5D6303663,classic_bike,12/18/2021 0:04,12/18/2021 0:08,Clark St & Lake St,Clinton St & Lake St,member
3E71610AA5F1B1ED,classic_bike,12/11/2021 12:04,12/11/2021 12:09,Sheffield Ave & Wellington Ave,Clark St & Newport St,member
B01A83B320A5D293,classic_bike,12/01/2021 18:56,12/01/2021 19:01,Sheffield Ave & Wellington Ave,Clark St & Newport St,member
6313E1F264275CCF,classic_bike,12/17/2021 21:57,12/17/2021 22:05,Lincoln Ave & Addison St,Clark St & Newport St,casual
0949AFA9DF2B9290,classic_bike,12/06/2021 17:32,12/06/2021 17:39,Leavitt St & Division St,Campbell Ave & North Ave,member
C8D009A935651E85,classic_bike,12/02/2021 11:52,12/02/2021 12:10,Clarendon Ave & Gordon Ter,Clark St & Newport St,member
BC76AB7E0369E254,classic_bike,12/15/2021 9:42,12/15/2021 9:58,Clarendon Ave & Gordon Ter,Clark St & Newport St,member
2CBF037D3BF156CE,electric_bike,12/18/2021 16:40,12/18/2021 16:52,Clark St & Berwyn Ave,Clark St & Newport St,casual
283736393054C664,electric_bike,12/22/2021 21:20,12/22/2021 21:34,Ashland Ave & Wrightwood Ave,Clark St & Newport St,member
0FF2583398B134CD,classic_bike,12/10/2021 11:47,12/10/2021 11:59,Kimbark Ave & 53rd St,MLK Jr Dr & 47th St,member
94081C86BAC794EC,classic_bike,12/06/2021 19:43,12/06/2021 19:50,Wilton Ave & Diversey Pkwy,Clark St & Newport St,casual
D369BE1346DEC4C2,classic_bike,12/16/2021 6:50,12/16/2021 7:01,Financial Pl & Ida B Wells Dr,Clinton St & Lake St,member
337A7EA7DD24E046,classic_bike,12/14/2021 16:49,12/14/2021 17:08,State St & 35th St,Laflin St & Cullerton St,member
7CC43B341D50AF8C,electric_bike,12/19/2021 13:46,12/19/2021 13:53,Racine Ave & Wrightwood Ave,Clark St & Newport St,member
1889F34679F631FD,electric_bike,12/17/2021 10:17,12/17/2021 10:31,Racine Ave & Wrightwood Ave,Clark St & Newport St,casual
D8E58826F96A5414,classic_bike,12/26/2021 10:37,12/26/2021 11:12,Orleans St & Hubbard St,Clark St & Newport St,member
F7A1FE7D02B19FC0,classic_bike,12/28/2021 18:21,,Wolcott Ave & Polk St,Laflin St & Cullerton St,member
89B92347D8418114,classic_bike,12/23/2021 19:11,,Michigan Ave & Ida B Wells Dr,Canal St & Jackson Blvd,member
B26C672D29DA54D6,electric_bike,12/13/2021 9:42,,W Washington Blvd & N Peoria St,LaSalle St & Illinois St,member
62F1D1219FC92AB3,classic_bike,12/19/2021 16:04,,Leavitt St & Belmont Ave,Clark St & Newport St,member
E6AED1B4C9BE98A2,classic_bike,12/31/2021 9:44,,Broadway & Berwyn Ave,Broadway & Argyle St,member
436FF48D9D72F0EB,classic_bike,12/23/2021 18:42,,Seeley Ave & Roscoe St,Clark St & Newport St,member
EAD8FA8E38811189,classic_bike,12/01/2021 20:32,12/01/2021 20:39,Valli Produce - Evanston Plaza,Dodge Ave & Church St,member
4209D65A1FD8625E,classic_bike,12/02/2021 18:26,12/02/2021 18:40,Clark St & Wrightwood Ave,Clark St & Newport St,member
1FA33F7D4C00523A,electric_bike,12/24/2021 15:59,12/24/2021 16:02,Benson Ave & Church St,Dodge Ave & Church St,casual
BC73AD3F85B7F277,classic_bike,12/15/2021 8:15,12/15/2021 8:21,Aberdeen St & Monroe St,Canal St & Jackson Blvd,member
697B9CFC874793FA,classic_bike,12/07/2021 16:57,12/07/2021 17:06,Benson Ave & Church St,Dodge Ave & Church St,member
35D98C17E5D5B40E,classic_bike,12/20/2021 18:53,12/20/2021 19:12,Aberdeen St & Monroe St,LaSalle St & Illinois St,casual
1316DB1BD516538F,electric_bike,12/20/2021 20:25,12/20/2021 20:49,Aberdeen St & Monroe St,LaSalle St & Illinois St,casual
3BA45520A03F8143,classic_bike,12/22/2021 15:14,12/22/2021 15:24,Pine Grove Ave & Irving Park Rd,Clark St & Newport St,member
E0483E1B258574D3,classic_bike,12/12/2021 12:36,12/12/2021 12:50,Bissell St & Armitage Ave,Clark St & Newport St,member
84F10CDAE7938ECB,electric_bike,12/15/2021 20:42,12/15/2021 20:52,Ashland Ave & Wellington Ave,Clark St & Newport St,casual
96B4DAD995182715,electric_bike,12/11/2021 23:15,12/11/2021 23:25,Clark St & Wrightwood Ave,Clark St & Newport St,casual
21E089093B585687,electric_bike,12/15/2021 17:53,12/15/2021 18:02,Clark St & Wrightwood Ave,Clark St & Newport St,casual
7D2E0106C6BDCB57,electric_bike,12/03/2021 11:38,12/03/2021 11:45,Jefferson St & Monroe St,N Carpenter St & W Lake St,member
186553A918CD42A9,classic_bike,12/30/2021 15:46,12/30/2021 16:10,Michigan Ave & 8th St,Michigan Ave & Pearson St,casual
22B91EC193FAC385,electric_bike,12/11/2021 16:43,12/11/2021 17:00,Western Ave & Lunt Ave,Dodge Ave & Church St,member
9B6A667F0E066B27,electric_bike,12/13/2021 5:46,12/13/2021 5:54,Michigan Ave & 8th St,Michigan Ave & Pearson St,member
74B6DF321B46301D,electric_bike,12/01/2021 11:25,12/01/2021 11:37,Honore St & Division St,N Carpenter St & W Lake St,member
212EC6DADA4D1FB4,classic_bike,12/09/2021 16:38,12/09/2021 16:44,Sheffield Ave & Wellington Ave,Clark St & Newport St,member
4C8E601F5484CC72,electric_bike,12/13/2021 16:01,12/13/2021 16:16,Campbell Ave & Montrose Ave,Clark St & Newport St,member
AB9FD31EA7E32A93,classic_bike,12/04/2021 11:49,12/04/2021 12:27,Michigan Ave & 8th St,Shore Dr & 55th St,member
